id,subject
329149,Field photographs
329149,Ships
329149,Meteorites
329149,Arthur Ross Hall of Meteorites
329149,Earth and Planetary Sciences
329147,Ships
329147,Field photographs
329147,Meteorites
329147,Arthur Ross Hall of Meteorites
329147,Earth and Planetary Sciences
329145,Icebergs
329145,Field photographs
329145,Ships
329145,Meteorites
329145,Arthur Ross Hall of Meteorites
329145,Earth and Planetary Sciences
329144,Meteorites
329144,Field photographs
329144,Earth and Planetary Sciences
329144,Arthur Ross Hall of Meteorites
329141,Meteorites
329141,Field photographs
329141,Earth and Planetary Sciences
329141,Arthur Ross Hall of Meteorites
329140,Meteorites
329140,Arthur Ross Hall of Meteorites
329140,Earth and Planetary Sciences
329140,Field photographs
314092,"Roosevelt, Theodore, 1858-1919"
314092,Museum exterior
314092,Museum buildings
314092,Exhibition preparation
314092,"Main Entrance, Central Park West"
314092,New York State Roosevelt Memorial
314091,"Roosevelt, Theodore, 1858-1919"
314091,Museum buildings
314091,New York State Roosevelt Memorial
314091,"Main Entrance, Central Park West"
314091,Museum exterior
314091,Exhibition preparation
314090,Museum exterior
314090,Museum buildings
314090,"Roosevelt, Theodore, 1858-1919"
314090,New York State Roosevelt Memorial
314090,Exhibition preparation
314090,"Main Entrance, Central Park West"
315109,Fossils
315109,Dinosaurs
315109,Tyrannosaurus rex
315109,Paleocene Hall
315109,Skeletons
242060,Portraits
242060,North America
2a12684,Equipment and supplies
2a12684,Fishing
2a12684,Native Americans
2a12684,Wood-carving
36214,Skeletons
36214,Dinosaurs
36214,Fossil Mammal Hall
36214,Paleontology
36217,Fossils
36217,Paleontology
36217,Dinosaurs
36217,Skeletons
230969,Portraits
230969,Scientists
230969,Expedition documentation
230969,Crocker Land Expedition (1913-1917)
230969,Field photographs
230967,Crocker Land Expedition (1913-1917)
230967,Scientists
230967,Portraits
230967,House furnishings
230967,Field photographs
230967,Expedition documentation
230499,Crocker Land Expedition (1913-1917)
230499,Expedition documentation
230499,Field photographs
230499,House furnishings
230498,Crocker Land Expedition (1913-1917)
230498,House furnishings
230498,Expedition documentation
230498,Field photographs
230497,House furnishings
230497,Expedition documentation
230497,Field photographs
230497,Crocker Land Expedition (1913-1917)
230496,Field photographs
230496,Crocker Land Expedition (1913-1917)
230496,Expedition documentation
230496,House furnishings
231968,Portraits
231968,Scientists
231968,Field photographs
231968,Expedition documentation
231968,Crocker Land Expedition (1913-1917)
231967,Portraits
231967,Scientists
231967,Crocker Land Expedition (1913-1917)
231967,Field photographs
231967,Expedition documentation
231967,Furniture
231967,Houses
231966,Furniture
231966,Houses
231966,Scientists
231966,Portraits
231966,Expedition documentation
231966,Crocker Land Expedition (1913-1917)
231966,Field photographs
231854,Crocker Land Expedition (1913-1917)
231854,House furnishings
231854,Field photographs
231854,Expedition documentation
231853,Portraits
231853,Field photographs
231853,Houses
231853,Expedition documentation
231853,Crocker Land Expedition (1913-1917)
231853,Scientists
231850,Games
231850,Crocker Land Expedition (1913-1917)
231850,Furniture
231850,Houses
231850,Expedition documentation
231850,Field photographs
231850,Portraits
232026,Scientists
232026,Portraits
232026,Houses
232026,Field photographs
232026,Crocker Land Expedition (1913-1917)
232026,Expedition documentation
232019,Crocker Land Expedition (1913-1917)
232019,Field photographs
232019,Houses
232019,Expedition documentation
232019,Portraits
232104,Expedition documentation
232104,Crocker Land Expedition (1913-1917)
232104,Field photographs
232104,Houses
232104,Portraits
232104,Children
232104,Equipment and supplies
232009,Portraits
232009,Scientists
232009,Equipment and supplies
232009,Crocker Land Expedition (1913-1917)
232009,Field photographs
232009,Expedition documentation
232145,Portraits
232145,Houses
232145,Equipment and supplies
232145,Crocker Land Expedition (1913-1917)
232145,Field photographs
232145,Expedition documentation
232146,Crocker Land Expedition (1913-1917)
232146,Portraits
232146,Houses
232146,Flags
232146,Equipment and supplies
232146,Field photographs
232146,Expedition documentation
232149,Crocker Land Expedition (1913-1917)
232149,Portraits
232149,Houses
232149,Flags
232149,Equipment and supplies
232149,Field photographs
232149,Expedition documentation
36190,Tyrannosaurus rex
36190,Skeletons
36190,Dinosaurs
36190,Paleontology
34765,Portraits
34765,Museum artists
34765,Exhibition preparation
34765,Minerals
34765,Geological Hall
34765,Geology
34764,Exhibition preparation
34764,Geological Hall
34764,Geology
34764,Minerals
34764,Museum artists
34764,Scientists
34763,Geology
34763,Geological Hall
34763,Minerals
34763,Exhibition preparation
34425,Geological Hall
34425,Geology
34425,Minerals
34425,Exhibition preparation
34424,Geological Hall
34424,Geology
34424,Minerals
34424,Exhibition preparation
34423,Exhibition preparation
34423,Minerals
34423,Geology
34423,Geological Hall
34422,Minerals
34422,Geology
34422,Exhibition preparation
34422,Geological Hall
34421,Minerals
34421,Geological Hall
34421,Geology
34421,Exhibition preparation
34258,Exhibition preparation
34258,Geology
34258,Minerals
34258,North America
34258,Hall of Geology
34257,Geology
34257,Minerals
34257,North America
34257,Exhibition preparation
34257,Geological Hall
34272,Exhibition preparation
34272,Geological Hall
34272,Geology
34272,Minerals
34272,North America
34271,Minerals
34271,Geological Hall
34271,Geology
34271,North America
34271,Exhibition preparation
255786,Geology
255786,North America
255787,Minerals
255787,Geology
322418,Art
322418,Mural painting and decoration
322418,Hayden Planetarium
322418,Museum artists
111981,Trees
111981,Africa
111981,Houses
111981,Field photographs
111981,Expedition documentation
313911,Mammals
313911,Hall of North American Mammals
313911,Exhibition preparation
313911,Dioramas
314251,Physical anthropology
314251,Sculpture
314251,Human biology
314251,Hall of the Natural History of Man
320623,Painting
320623,Mammals
320623,Hall of North American Mammals
320623,Dioramas
320623,Exhibition preparation
123209,Dioramas
123209,North America
123209,Mammals
123209,Hall of North American Mammals
336867,First nations of North America
336867,Houses
336867,Portraits
336867,Ethnology -- North America
336867,Cultural anthropology
338325,First nations of North America
338325,Ethnology -- North America
338325,Portraits
111788,Ethnology -- Africa
111788,Portraits
112333,Bridges
112333,Africa
112333,Trees
112333,Field photographs
112333,Expedition documentation
299249,Pottery
299249,Archaeology
299249,Ethnology -- South America
226867,Boats and boating
226867,Rivers
226867,Africa
226867,Expedition documentation
226867,Field photographs
114840,Houses
114840,Portraits
114840,Oceania
114840,Expedition documentation
114840,Field photographs
114840,Children
114840,Ethnology -- Oceania
107954,Ornithology
107954,Ships
107954,Birds
107954,Scientists
107954,Portraits
107954,Field photographs
115521,Birds
115521,Oceania
115521,Ornithology
115521,Nests
115521,Field photographs
115521,Expedition documentation
115441,Birds
115441,Nests
115441,Ornithology
115441,Oceania
115441,Field photographs
115441,Expedition documentation
115524,Tools
115524,Oceania
115524,Field photographs
115524,Expedition documentation
115524,Ethnology -- Oceania
115876,Tools
115876,Portraits
115876,Ethnology -- Oceania
115876,Expedition documentation
115876,Field photographs
115442,Oceania
115442,Birds
115442,Expedition documentation
115442,Ornithology
115442,Nests
115442,Field photographs
114703,Nests
114703,Birds
114703,Ornithology
114703,Field photographs
114703,Oceania
114703,Expedition documentation
107955,Portraits
107955,Ornithology
107955,Scientists
107955,Birds
107955,Ships
107955,Expedition documentation
107955,Field photographs
115523,Ships
115523,Portraits
115523,Oceania
115523,Tattooing
115523,Ethnology -- Oceania
115523,Field photographs
115523,Expedition documentation
114702,Oceania
114702,Trees
114702,Expedition documentation
114702,Field photographs
115522,Ethnology -- Oceania
115522,Portraits
